timeStamp, Temperature(°C), Pressure(hPa), Humidity(%), Wind_Speed(m/s), Wind_Direction(deg), Longitude(deg), Latitude(deg), Altitude(m)
2023/06/05 16:35:06, 21.23, 53.93, 986.62, 0.33, 36.19, 0.00, 0.00, 0.00
2023/06/05 16:35:06, 21.21, 53.89, 986.65, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:06, 21.20, 53.89, 986.64, 0.33, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:07, 21.20, 53.80, 986.64, 0.33, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:08, 21.22, 53.83, 986.62, 0.33, 36.19, 0.00, 0.00, 0.00
2023/06/05 16:35:09, 21.24, 54.01, 986.66, 0.33, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:10, 21.24, 54.19, 986.64, 0.33, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:11, 21.25, 54.36, 986.62, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:12, 21.25, 54.45, 986.61, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:15, 21.27, 54.50, 986.65, 0.20, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:16, 21.29, 54.43, 986.68, 0.20, 36.28, 0.00, 0.00, 0.00
2023/06/05 16:35:17, 21.28, 54.35, 986.69, 0.14, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:18, 21.28, 54.29, 986.63, 0.14, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:19, 21.28, 54.19, 986.68, 0.14, 36.17, 0.00, 0.00, 0.00
2023/06/05 16:35:20, 21.27, 54.26, 986.70, 0.02, 36.28, 0.00, 0.00, 0.00
2023/06/05 16:35:21, 21.26, 54.44, 986.67, 0.02, 36.17, 0.00, 0.00, 0.00
2023/06/05 16:35:22, 21.25, 54.58, 986.69, 0.02, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:24, 21.26, 54.59, 986.70, 0.02, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:25, 21.24, 54.51, 986.68, 0.02, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:26, 21.24, 54.49, 986.69, 0.02, 36.28, 0.00, 0.00, 0.00
2023/06/05 16:35:27, 21.23, 54.46, 986.66, 0.02, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:28, 21.24, 54.43, 986.67, 0.02, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:29, 21.24, 54.35, 986.66, 0.02, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:30, 21.24, 54.28, 986.68, 0.02, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:31, 21.23, 54.33, 986.69, 0.02, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:33, 21.18, 54.49, 986.67, 0.02, 36.28, 0.00, 0.00, 0.00
2023/06/05 16:35:34, 21.17, 54.44, 986.68, 0.02, 36.28, 0.00, 0.00, 0.00
2023/06/05 16:35:35, 21.16, 54.46, 986.65, 0.14, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:36, 21.14, 54.46, 986.67, 0.14, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:37, 21.13, 54.46, 986.70, 0.26, 36.26, 0.00, 0.00, 0.00
2023/06/05 16:35:38, 21.12, 54.42, 986.67, 0.20, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:39, 21.10, 54.37, 986.66, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:40, 21.09, 54.32, 986.70, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:42, 21.06, 54.15, 986.69, 0.33, 36.24, 0.00, 0.00, 0.00
2023/06/05 16:35:43, 21.04, 54.24, 986.70, 0.33, 36.17, 0.00, 0.00, 0.00
2023/06/05 16:35:44, 21.03, 54.30, 986.68, 0.33, 36.19, 0.00, 0.00, 0.00
2023/06/05 16:35:45, 21.03, 54.39, 986.68, 0.33, 36.22, 0.00, 0.00, 0.00
2023/06/05 16:35:46, 21.03, 54.46, 986.70, 0.33, 36.28, 0.00, 0.00, 0.00
